1,Janhavi Baikerikar,,,,,,
2,Usha Sharma,G.N. Purohit,,,,,
3,Kishor Honwadkar,Dr. T. R. Sontakke,,,,,
4,PANKAJ AGARKAR,Sanjay Talbar,,,,,
5,Tilottama Dhake, R D Patane,Sheetal Jagtap,,,,
6,Anirban Mitra,,,,,,
7,DAVID SOLOMON RAJU,KRISHNA REDDY,,,,,
8,Shruti Jain, Pradeep Naik,Sunil Bhooshan,,,,
9,Dwarkoba Gaikwad, Prashant Abyhan,Prachi Bedekar,,,,
10,Dr. B. K. Mishra, Lochan Jolly,kalawati Patil,,,,
11,SUBHA SUBRAMANIAM,,,,,,
12,Abdul Rahiman M,,,,,,
13,Mr.Shivanand Konade, Prof.Mrs.Shashi Prabha,Prof.Mrs.Savita Bhosale,,,,
14,Mr.Shivanand Konade, Prof.Mrs.Shashi Prabha,Mr.Shivanand Konade,,,,
15,Mr.Arun Kachare, Assit Mr.R.D. Patane, Assit.Prof. Mrs.Jyothi Digge,Mr.Shivanand Konade,,,
16,Mr.Vilas Moon, Assist.Prof.D.V. Thombre,Mr.Shivanand konade,,,,
17,Vinitkumar Dongre,Brij kishore Mishra,,,,,
18,Praveen Malik,,,,,,
19,Tusharika Sinha Banerjee,,,,,,
20,Asha Rawat, Umesh Kulkarni,Vijay Bhosle,,,,
21,DAVID SOLOMON RAJU,SWARNA KUMARY,,,,,
22,Janhavi Baikerikar,,,,,,
23,Prachitee Shekhawat,Prof. Sheetal S. Dhande,,,,,
24,Rakhi Muley,Madhumita Chatterjee,,,,,
25,Suggala Ram Prasad, David Solomon Raju,Grandhi Naresh kumar,,,,
26,uthra R, kalaiarasi N,Rathinam A,,,,
27,Ketki Deshmukh,,,,,,
28,Seema Shah,Dr. Sunita Mahajan,,,,,
30,Anita Purushotham, Prachi Dhannawat,K.T Talele,,,,
31,Yogi Joshi,Abhijit Patankar,,,,,
32,Nishath Anjum,Y.David Solomon Raju,,,,,
33,Indraneel Mukhopadhyay, Mohuya Chakraborty,Satyajit Chakrabarti,,,,
34,Swati Mali,Bandu Meshram,,,,,
36,AJITHA S,KALAIARASI N,,,,,
37,sonali Bhadoria,,,,,,
38,DAVID SOLOMON RAJU Y,SWARNA KUMARY K,,,,,
39,kriti gupta,,,,,,
40,kriti gupta,,,,,,
41,Kamal Raj,Gowtham Muthuraj,,,,,
42,Umesh Kulkarni,shrihari joshi,,,,,
43,sheetal jagtap, Nilkantha Killarikar,Tilottama Dhake,,,,
44,Sonali Nade, Mayuri Tambekar,Ashwini Gajarushi,,,,
45,Divya Patil, Vibha Menon,Ashwini Gajarushi,,,,
46,Gajanan Dhok, S.A Ladhake,Rahul Khokale,,,,
47,Mahendra Mehra, Mayank Agarwal, Deven Shah,Renuka Pawar,,,
48,Mayank Agarwal, Mahendra Mehra, Deven Shah,Renuka Pawar,,,
49,Anil Hingmire, Dada Ingle, Rahul Ambekar,Sangita Chaudhari,,,
50,Swati Mali, Suman Ninoriya,B B Meshram,,,,
51,Smita Dange, Vaibhav Chunekar,Bandu Meshram,,,,
52,Mondit Mahanta, Papeeya Phukan, Anupam Nath, Ankur Bordoloi, Chorosree Roychoudhury, Hiranmoy Saha,Biplob Mondal"
54,Ujwalla Gawande, Mukesh Zaveri,Avichal Kapur,,,,
55,PANKAJ MUDHOLKAR,Shirshendu Maitra,,,,,
56,Shamal Firake, Pravin Soni,B B Meshram,,,,
57,GNANA JAYANTHI JOSEPH,,,,,,
58,Nandkishor Karlekar, Piyush Chavan, Hitesh Kotian,Vishnupriya Mallela,,,
59,Sneha Patil, Rohini Sonawane, Dipika Rokade,nandkishor karlekar,,,
